index_shangche,label_shangche,name,lat,lon,index_xiache,label_xiache,pop_dens,age_0_19,age_20_39,age_40_59,age_60,lu_comm,lu_res,lu_work,lu_pub,dis_pop,dis_poi
0,8,四惠枢纽站,39.905301,116.490964,0,7,25147,0.14,0.43,0.19,0.24,0.06,0.51,0.28,0.15,10.71,10.67
1,7,八王坟西,39.907188,116.469021,1,7,23908,0.16,0.36,0.26,0.22,0.1,0.45,0.31,0.14,8.89,8.79
2,8,郎家园,39.907107,116.464084,2,7,29431,0.14,0.37,0.25,0.24,0.06,0.51,0.27,0.16,8.51,8.38
3,7,大北窑东,39.907305,116.458656,3,7,20534,0.16,0.41,0.23,0.2,0.1,0.44,0.34,0.12,8.08,7.92
4,7,大北窑西,39.907343,116.454031,4,4,23152,0.14,0.38,0.26,0.22,0.1,0.48,0.29,0.13,7.72,7.53
5,7,永安里路口西,39.907162,116.442118,5,8,20733,0.14,0.42,0.21,0.23,0.11,0.41,0.34,0.14,6.84,6.54
6,7,日坛路,39.907185,116.435763,6,8,21464,0.13,0.43,0.22,0.22,0.11,0.41,0.35,0.13,6.38,6.01
7,7,北京站口东,39.907114,116.422277,7,8,21583,0.14,0.43,0.19,0.24,0.11,0.4,0.35,0.14,5.46,4.9
9,6,天安门东,39.906457,116.395946,9,8,15316,0.13,0.42,0.22,0.23,0.13,0.36,0.35,0.16,4.06,2.86
10,6,天安门西,39.90622,116.387648,10,4,16983,0.14,0.41,0.21,0.24,0.11,0.39,0.34,0.16,3.8,2.3
11,6,西单路口东,39.905894,116.37204,11,4,15012,0.14,0.4,0.22,0.24,0.1,0.45,0.3,0.15,3.63,1.6
12,6,复兴门内,39.905916,116.352131,12,4,15128,0.14,0.39,0.25,0.22,0.1,0.44,0.32,0.14,4.04,2.02
13,6,南礼士路,39.905927,116.344216,13,4,17016,0.13,0.41,0.25,0.21,0.11,0.43,0.3,0.16,4.38,2.5
14,6,工会大楼,39.906001,116.339586,14,4,17007,0.14,0.37,0.28,0.21,0.11,0.41,0.32,0.16,4.61,2.82
15,6,木樨地西,39.906406,116.326825,15,6,15578,0.16,0.37,0.22,0.25,0.11,0.39,0.35,0.15,5.32,3.76
16,8,军事博物馆,39.906228,116.316967,16,6,27712,0.15,0.4,0.22,0.23,0.06,0.5,0.28,0.16,5.98,4.55
17,8,公主坟,39.906312,116.304186,17,6,25718,0.14,0.36,0.29,0.21,0.07,0.52,0.26,0.15,6.88,5.59
18,8,翠微路口,39.906303,116.294934,18,6,28176,0.15,0.36,0.26,0.23,0.06,0.52,0.28,0.14,7.57,6.35
19,8,万寿路口西,39.90628,116.287348,19,6,25240,0.16,0.36,0.27,0.21,0.06,0.48,0.3,0.16,8.14,6.98
20,8,东翠路口,39.906284,116.281457,20,6,25560,0.17,0.38,0.22,0.23,0.06,0.47,0.31,0.16,8.6,7.48
21,5,沙沟路口西,39.906284,116.276274,21,6,10297,0.15,0.34,0.27,0.24,0.15,0.29,0.39,0.17,9,7.91
22,5,五棵松桥东,39.90628,116.27134,22,6,10425,0.14,0.36,0.28,0.22,0.14,0.3,0.41,0.15,9.39,8.32
23,5,永定路口东,39.906289,116.260418,23,6,10000,0.15,0.36,0.29,0.2,0.14,0.27,0.45,0.14,10.25,9.24
24,5,玉泉路口西,39.906274,116.245671,24,6,11739,0.15,0.41,0.2,0.24,0.14,0.28,0.42,0.16,11.44,10.48
25,5,八宝山,39.906273,116.236227,25,6,11547,0.16,0.39,0.24,0.21,0.14,0.31,0.39,0.16,12.21,11.28
26,4,地铁八宝山站,39.906272,116.231223,26,6,9138,0.15,0.34,0.3,0.21,0.14,0.24,0.46,0.16,12.62,11.7
29,5,五棵松桥西,39.90618,116.267054,29,6,11872,0.14,0.4,0.23,0.23,0.14,0.28,0.43,0.15,9.73,8.68
30,6,南菜园,39.876245,116.346106,30,4,16252,0.13,0.42,0.21,0.24,0.12,0.39,0.33,0.16,7.3,5.17
31,6,白纸坊路口西,39.876533,116.351945,31,4,17240,0.14,0.41,0.23,0.22,0.11,0.41,0.33,0.15,7.12,4.99
32,6,南樱桃园路口北,39.878017,116.357782,32,4,17966,0.12,0.4,0.26,0.22,0.11,0.44,0.29,0.16,6.85,4.72
33,6,牛街南口,39.881147,116.357613,33,4,16895,0.13,0.41,0.24,0.22,0.11,0.39,0.34,0.16,6.51,4.38
34,6,牛街礼拜寺,39.883367,116.357494,34,4,16341,0.14,0.37,0.25,0.24,0.11,0.4,0.34,0.15,6.27,4.14
35,6,牛街,39.886947,116.357423,35,4,16986,0.12,0.38,0.27,0.23,0.11,0.41,0.32,0.16,5.89,3.75
36,6,宣武医院,39.889327,116.357377,36,4,16582,0.12,0.38,0.25,0.25,0.1,0.45,0.29,0.16,5.63,3.5
37,6,槐柏树街东口,39.896077,116.357232,37,4,16637,0.13,0.38,0.25,0.24,0.12,0.4,0.33,0.15,4.91,2.78
38,6,长椿街路口北,39.898627,116.35726,38,4,17640,0.12,0.4,0.23,0.25,0.11,0.42,0.32,0.15,4.63,2.51
